Product Category,Tags,Title,Handle,Body (HTML),Variant Price,Length,Width,Width Unit,Thickness,Variant Weight,Variant Weight Unit,Image Src
Building Materials,"""Ladders,Multi-Position Ladders""","18 ft Reach MPXA Aluminum Multi-Position Ladder with Tool Hangers, 300 lbs Load Capacity",18-ft-reach-mpxa-aluminum-multi-position-ladder-with-tool-hangers-300-lbs-load-capacity,"Lightweight. Durable. Easy to Use. And now featuring Gorilla's innovative tool storage solutions to help you get your projects done even more quickly, easily, and safely! The newly-designed Gorilla Ladders 18 ft. Reach Aluminum Multi-Position Ladder now has built-in tool hangers on the armored feet and on the hinge knobs, ensuring you'll always have a place to hang your tools while working and climbing. With 20 telescoping adjustable heights, this ladder can be used as an Extension Ladder, Double-Sided Twin Stepladder, 90-degree Wall Ladder, Stairway Stepladder, and as 2 Scaffold Bases (with the purchase of the Rail Brackets accessory) while still folding down to a compact package for easy storage and transport. Extra-large, heavy-duty MPXA hinges are easy to use and give you improved strength and rigidity while climbing for an added sense of security, and the smart rail design makes this ladder lighter yet stronger than comparable models. With plenty of added features and the same lightweight, easy-to-use design, this Gorilla Ladder is truly ""Built Smart and Always Tough.""<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Lightweight aluminum design is easy-to-use and transport</span></li><li class=""list__item""><span>Integrated tool hangers in hinge knobs and feet for additional storage and safe, secure working</span></li><li class=""list__item""><span>Durable design with Type 1A ANSI Duty Rating (rated to hold up to 300 lbs.)</span></li><li class=""list__item""><span>Oversized hinges improve rigidity and reduce flex when climbing</span></li><li class=""list__item""><span>Limited lifetime warranty</span></li><li class=""list__item""><span>Rail brackets (for use in scaffold position) are available on HomeDepot.com</span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",199,undefined,23.65,in,undefined,30.88,lb,https://images.thdstatic.com/productImages/c9d92031-a26c-453a-94da-60aa493cd287/svn/gorilla-ladders-multi-position-ladders-glmpxa-18-2-64_600.jpg
Building Materials,"""Roofing,Roof Shingles""",Timberline HDZ Charcoal Algae Resistant Laminated High Definition Shingles (33.33 sq. ft. per Bundle) (21-Pieces),timberline-hdz-charcoal-algae-resistant-laminated-high-definition-shingles-(3333-sq-ft-per-bundle)-(21-pieces),"We took our signature #1-selling shingle, Timberline HD and transformed it by strengthening the common bond and creating the industry's largest nailing zone. Timberline HDZ Shingles have the same renowned Timberline quality and performance you know and love, with improved nailing accuracy and installation efficiency. Timberline HDZ Shingles are easy and fast to install, with an incredible 99.9% nail placement accuracy. Results based on study conducted by Home Innovation Research Labs, an independent research lab, comparing installation of Timberline HD Shingles to Timberline HDZ Shingles on a 16-square roof deck using standard 4-nail nailing pattern under controlled laboratory conditions. Actual results may vary.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span><a href=""https://www.gaf.com/en-us/quickmeasure"" target=""_blank"" style=""color:#F96302;"">Don't know how much to order? A GAF QuickMeasure report provides all of the measurement data you need when planning your material orders. A complete bill of materials including GAF shingles is provided with each single-family report delivered in under 1 hour.&nbsp; Learn more&nbsp;here. [gaf.com]</a></span></li><li class=""list__item""><span>A great value and architecturally stylish - with a Lifetime limited warranty (See GAF Shingle &amp; accessory limited warranty for complete coverage and restrictions)</span></li><li class=""list__item""><span>New StrikeZone Nailing Area is the industry's largest nail zone designed for high visibility, ease of installation, and maximum accuracy</span></li><li class=""list__item""><span>25-year StainGuard Plus Algae Protection Limited Warranty</span></li><li class=""list__item""><span>Proprietary LayerLock Technology mechanically fastens the common bond, allowing for a larger nailing area - up to 600% larger nailing target** (**Compared to Timberline HD Shingles)</span></li><li class=""list__item""><span>A dimensional look that features GAF's proprietary color blends and enhanced shadow effect for a genuine wood-shake look</span></li><li class=""list__item""><span>Highest Roofing Fire Rating - UL Class A, Listed to ANSI/UL 790</span></li><li class=""list__item""><span>Dura Grip sealant pairs with the smooth microgranule surface of the StrikeZone nailing area for fast tack. Then, an asphalt-to asphalt monolithic bond cures for durability, strength, and exceptional wind uplift performance</span></li><li class=""list__item""><span>Lifetime limited transferable warranty with Smart Choice Protection (non-prorated material and installation labor coverage) for the first ten years</span></li><li class=""list__item""><span>Eligible for the WindProven Limited Wind Warranty when installed with the required combination of GAF Accessories. (See GAF Roofing System Limited Warranty for complete coverage and restrictions and list of qualifying products.)</span></li><li class=""list__item""><span>WindProven Limited Wind Warranty on Timberline Shingles with LayerLock Technology requires the use of GAF Starter Strips, Roof Deck Protection, Ridge Cap Shingles, and Leak Barrier or Attic Ventilation.</span></li><li class=""list__item""><span>Note: it is difficult to reproduce the color clarity and actual color blends of these products before selecting your color, please ask to see several full-size shingles</span></li><li class=""list__item""><span>Charcoal is the most neutral of all shades, this cool-toned color works wonderfully with exteriors that feature blues, grays or whites, but you can also pair it up with yellow, gold, sage or green</span></li><li class=""list__item""><span>For design inspiration, <a href=""https://www.homedepot.com/c/Front_of_Home_Trends"" target=""_blank"" style=""color:#F96302;"">Click here for exterior front of home trend ideas</a></span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",44.97,39.38,13.25,in,2.4,undefined,undefined,https://images.thdstatic.com/productImages/be261cff-e499-40c0-886b-daaaa39c5fcf/svn/charcoal-gaf-roof-shingles-0489180-64_600.jpg
Building Materials,"""Siding,Composite Siding""",LP SmartSide 38 Series Cedar Texture OC Panel Engineered Treated Wood Siding 8 in. Application as 4 ft. x 8 ft.,lp-smartside-38-series-cedar-texture-oc-panel-engineered-treated-wood-siding-8-in-application-as-4-ft-x-8-ft,"When you are siding a shed, the product you choose should be as durable and beautiful as the siding you would choose for your home. That's where LP SmartSide Panel Siding comes in. Designed to last, these shed siding panels stand up to weather, moisture, impact, pests and much more due to the LP SmartGuard process. LP SmartSide shed siding panels cut just like traditional wood, requiring no specialized tools to get the job done, and their lighter weights make them a breeze to handle. For shed siding that adds beauty without sacrificing durability, choose LP SmartSide Panel Siding.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Ideal use for siding a shed</span></li><li class=""list__item""><span>Shiplap edges feature an advanced bead system for easier alignment</span></li><li class=""list__item""><span>Comes primed and ready to paint for the perfect shed siding finish</span></li><li class=""list__item""><span>No special tools are needed for installation, cuts like traditional wood</span></li><li class=""list__item""><span>Significantly lighter and easier to handle than fiber cement shed siding panels</span></li><li class=""list__item""><span>Designed and engineered for resistance to impacts, moisture, pests and weather with the LP SmartGuard process</span></li><li class=""list__item""><span>Strong enough to be nailed directly to stud, making additional sheathing unnecessary in many applications and eliminates need for additional bracing on load-bearing walls</span></li><li class=""list__item""><span>Backed by a 5/50-year prorated limited warranty for ultimate peace of mind</span></li><li class=""list__item""><span>Copyright 2016 Louisiana-pacific corporation, all rights reserved, SmartSide is a registered trademark of Louisiana-pacific corporation, all other trademarks are owned by Louisiana-pacific corporation</span></li><li class=""list__item""><span>Note: product may vary by store</span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",46,96,48.56,in,0.354,40.96,lb,https://images.thdstatic.com/productImages/27fd4e65-ff3d-4df4-a2d6-de488960d3af/svn/primed-lp-smartside-composite-siding-27874-64_600.jpg
Building Materials,"""Drywall,Joint Compound""",4.5 gal. All Purpose Ready-Mixed Joint Compound,45-gal-all-purpose-ready-mixed-joint-compound,"USG Sheetrock Brand All Purpose Joint Compound is the original, most-trusted conventional weight all purpose, ready-mixed joint compound for all phases of drywall finishing. Use for repairing cracks on drywall and plaster, embedding USG Sheetrock Brand Paper Joint Tape, and applying drywall filling and finishing coats. May also be used for covering fasteners and USG Sheetrock Brand Corner Bead and Trim, skim coating drywall surfaces, and hand-applying simple textures.   USG ready-mixed joint compounds are preferred for consistently high-quality work. Superior formulations are premixed to a creamy, smooth consistency and are essentially free of crater-causing air bubbles. They can be used in hand or machine-tool applications and offer excellent slip, bond, and easy workability.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Pre-mixed compound for minimal mixing, thinning, and retempering</span></li><li class=""list__item""><span>Superior filling and finishing</span></li><li class=""list__item""><span>Provides top-quality bond and hard finish surface</span></li><li class=""list__item""><span>GREENGUARD Gold certified for low-emitting performance</span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",22.98,undefined,12,in,undefined,61.7,lb,https://images.thdstatic.com/productImages/94bbbc7d-5e2c-4916-b1ad-d1fa8d11095e/svn/usg-sheetrock-brand-joint-compound-380501-64_600.jpg
Building Materials,"""Insulation,Foam Board Insulation""",FOAMULAR NGX F-250 2 in. x 4 ft. x 8 ft. SSE R-10 XPS Rigid Foam Board Insulation,foamular-ngx-f-250-2-in-x-4-ft-x-8-ft-sse-r-10-xps-rigid-foam-board-insulation,"Owens Corning FOAMULAR NGX (Next Generation Extruded) insulation, is produced with a proprietary blowing agent that delivers a 90% reduction to Global Warming Potential (100 year) compared to current FOAMULAR. The new formulation and production process meets or exceeds new, more stringent regulatory standards without sacrificing product performance and offers a comprehensive line of products in a wide choice of sizes, thicknesses and edges with a Lifetime limited warranty for the life of the home or building. Foam insulation boards are easy to handle, score, cut and install &amp; no special tools are needed. Foam insulation products can be used on wood, steel framing or concrete walls. FOAMULAR NGX resists moisture and retains R-value even after exposure to standing water and wet soil. Owens Corning FOAMULAR NGX insulation offers all the physical properties and ease-of-use you expect from Owens Corning FOAMULAR insulation with industry-leading sustainability.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Completely eliminates use of HFC 1</span></li><li class=""list__item""><span>Manufactured with a blowing agent formulation that delivers a 90% reduction to global warming potential (100-year)1</span></li><li class=""list__item""><span>Excellent energy efficiency in the form of a high R-5 per inch</span></li><li class=""list__item""><span>Extremely low water absorption potential, delivering superior R-value retention in the presence of water</span></li><li class=""list__item""><span>Wide range of compressive strengths - up to 100 psi - to handle heavy loads</span></li><li class=""list__item""><span>Only XPS with a limited lifetime warranty that guarantees a minimum 90% of R-value for the life of the product</span></li><li class=""list__item""><span>ENERGY STAR</span></li><li class=""list__item""><span>When using foamular or any low perm insulation, always verify the moisture vapor flow and dew point characteristics of the wall system, please check your local building codes for vapor retarder/barrier information</span></li><li class=""list__item""><span>Being used in an interior construction application, painting the fo is not recommended as foamular cannot be left exposed and will need to be covered by a 15-minute thermal barrier such as drywall</span></li><li class=""list__item""><span>If being used for crafts, acrylic or latex based paints can be used with foamular products</span></li><li class=""list__item""><span>If you're looking to insulate your garage door, <a href=""https://www.homedepot.com/p/owens-corning-garage-door-fiberglass-insulation-Kit-22-in-x-54-in-8-Panels-GD01/202257272"" target=""_blank"" style=""color:#F96302,"">owens corning garage door insulation Kit</a> is an easy, fast and affordable way to keep your garage warm in winter and cool in the summer</span></li><li class=""list__item""><span>If you're looking to ventilate your attic rafters, <a href=""https://www.homedepot.com/p/owens-corning-raft-R-mate-22-1-2-in-x-4-ft-attic-insulation-rafter-baffle-proper-vents-70-Pieces-70RM/204853491"" target=""_blank"" style=""color:#F96302,"">owens corning Raft-R-Mate</a> is a XPS foam vent designed to assure unrestricted airflow from the soffit to the ridge vent</span></li><li class=""list__item""><span>FOAMULAR is available in 2 edge configurations</span></li><li class=""list__item""><span>Square edge - designed to fit flush next to adjoining boards</span></li><li class=""list__item""><span>Scored square edge - comes with 3 factory scores, so that you can take a 4 ft. sheet, break it in 2 and have two, 2 ft.wide sheets (middle score) or you can break it into three 16 in. wide pieces by snapping at the left and right score</span></li><li class=""list__item""><span>GREENGUARD</span></li><li class=""list__item""><span>Click here to shop <a href=""https://www.homedepot.com/b/Building-Materials-Insulation-Foam-Board-Insulation/Owens-Corning/N-5yc1vZbaxxZ3q5"" target=""_blank"" style=""color:#F96302;"">Owens Corning Foam Board Insulation</a> styles</span></li><li class=""list__item""><span>Foamular is not rated for STC (sound transmission) and does not have any soundproofing properties. <a href=""https://www.homedepot.com/b/building-materials-insulation-fiberglass-insulation/owens-corning/N-5yc1vZbay7Z3q5"" target=""_blank"" style=""color:#F96302,"">owens corning fiberglass batts and rolls</a> are great options for acoustic applications</span></li><li class=""list__item""><span>Click here to learn more about <a href=""https://ecooptions.homedepot.com/energy-efficiency/"" target=""_blank"" style=""color:#F96302,"">Eco Options and Energy Efficiency</a></span></li><li class=""list__item""><span>Click here to learn more about <a href=""https://www.homedepot.com/c/ab/insulation-r-values/9ba683603be9fa5395fab9091a9131f"" target=""_blank"" style=""color:#F96302;"">Insulation R-Values</a></span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li></ul></div>",53.97,8,48,in,2,7.5,lb,https://images.thdstatic.com/productImages/e5228ccf-ffc5-4319-b522-97d79b58a931/svn/owens-corning-foam-board-insulation-52ddngx-64_600.jpg
Building Materials,"""Roofing,Commercial Roofing,Roof Coatings""",887 Tropi-Cool 100% Silicone White Roof Coating 4.75 gal.,887-tropi-cool-100-silicone-white-roof-coating-475-gal,"Henry 887 Tropi-Cool 100% Silicone White Roof Coating is a premium, 100% silicone, moisture-cure coating designed to reflect the sun's heat and UV rays as well as protect many types of roofs. Now with Dirt Pick-Up Resistance (DPR) Technology, it will keep your roof whiter and brighter longer. While suitable for use in all climates, the 100% silicone chemistry is especially suited for extreme tropical environments, which are exposed to some of the hottest and wettest weather with intense UV exposure. It is specially designed to maintain maximum reflectivity of heat and UV rays as it ages. Its moisture-cure chemistry creates a very aggressive chemical bond with the roof, which allows for permanent ponding water resistance, extreme durability, and superior capabilities of sealing and protection.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>100% Waterproof</span></li><li class=""list__item""><span>Lifetime limited warranty</span></li><li class=""list__item""><span>Dirt Pick-Up Resistance (DPR) technology formula - Stays whiter and brighter longer</span></li><li class=""list__item""><span>Delivers longest lasting reflectivity and energy savings</span></li><li class=""list__item""><span>Helps prevent dirt and dust buildup</span></li><li class=""list__item""><span>Rain‐safe in 15‐minutes</span></li><li class=""list__item""><span>1-coat application</span></li><li class=""list__item""><span>Wide application temperature range from 35 °F to 120 °F (2 °C to 49 °C)</span></li><li class=""list__item""><span>Permanent ponding water resistant</span></li><li class=""list__item""><span>Superior UV resistance and weathering performance</span></li><li class=""list__item""><span>VOC compliant - solvent‐free</span></li><li class=""list__item""><span>Mold and mildew resistant</span></li><li class=""list__item""><span>Chemically bonds with roof substrates as it cures</span></li><li class=""list__item""><span>Easy to apply by spray, roller, or brush</span></li><li class=""list__item""><span>Excellent adhesion and flexibility</span></li><li class=""list__item""><span>Click here to learn more about <a href=""https://ecooptions.homedepot.com/energy-efficiency/"" target=""_blank"" style=""color:#F96302;"">Eco Options and Energy Efficiency</a></span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li></ul></div>",349,undefined,12,in,undefined,undefined,undefined,https://images.thdstatic.com/productImages/452458dd-4351-483f-81e7-03038b761726/svn/henry-roof-coatings-he887hs018-64_600.jpg
Building Materials,"""Ladders,Step Ladders""",6 ft. Fiberglass Step Ladder (10 ft. Reach Height) with 300 lb. Load Capacity Type IA Duty Rating,6-ft-fiberglass-step-ladder-(10-ft-reach-height)-with-300-lb-load-capacity-type-ia-duty-rating,"The Werner NXT1A06 Fiberglass 6ft Step Ladder is the ladder built for the pro. This 300lb duty rated ladder features a yellow LOCKTOP ladder top to house all the tools for the job, including an impact driver. Carabiner anchor point allows gear to be safely tethered to the ladder top, preventing injuries and damage from falling tools. Fiberglass rails are non-conductive and safe for working near electricity. Fully braced steps and rear horizontals provide superior stability.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Professional grade 300 lbs. load capacity and TIA duty rating</span></li><li class=""list__item""><span>Fiberglass rails are non-conductive and suitable for working near electricity</span></li><li class=""list__item""><span>LOCKTOP ladder top safely holds an arsenal of tools, including an impact driver</span></li><li class=""list__item""><span>Carabiner points allow for tools to be tethered, preventing injuries and damages below from falling tools</span></li><li class=""list__item""><span>Werner Lock-In accessories system easily works extends and customizes the usable space of the top (sold separately)</span></li><li class=""list__item""><span>Yellow accents provide maximum visibility to ladder tops and feet</span></li><li class=""list__item""><span>EDGE 360 bracing protects ladder feet and rails from damage</span></li><li class=""list__item""><span>Footpads are extra wide, slip resistant, and non-marring</span></li><li class=""list__item""><span>Weather resistant for outdoor use</span></li><li class=""list__item""><span>ANSI certified and OSHA compliant</span></li><li class=""list__item""><span><a href=""https://www.homedepot.com/c/ab/types-of-ladders/9ba683603be9fa5395fab90f1001b7a"" target=""_blank"">Not sure which ladder is right for your home? Check out our helpful buying guide here.</a></span></li><span class=""list__item list__item--nopadding"" data-testid=""list-item-no-padding""></span><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li></ul></div>",99.97,undefined,23.34,in,undefined,22,lb,https://images.thdstatic.com/productImages/7da4b2a5-bf0d-426f-886a-06596ce5efff/svn/werner-step-ladders-nxt1a06-64_600.jpg
Building Materials,"""Ladders,Step Stools""",3-Step Steel Lightweight Step Stool Ladder 225 lbs. Load Capacity Type II Duty Rating (9ft. Reach Height),3-step-steel-lightweight-step-stool-ladder-225-lbs-load-capacity-type-ii-duty-rating-(9ft-reach-height),"Built for stability and convenience, the Gorilla Ladders 3-Step Lightweight Steel Ladder is an easily portable stool to make any job stress-free. It features a soft, comfort grip that offers a convenient place to grab while carrying the ladder and a locking step latch that keeps it in place. It boats extra-wide, platform steps that are slip-resistant for a safe climb. The ladder features an ANSI Type 2 Duty Rating (225 lbs. capacity) and a limited lifetime warranty.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Lightweight design for easy portability</span></li><li class=""list__item""><span>Non-slip treads and feet</span></li><li class=""list__item""><span>Comfort grip</span></li><li class=""list__item""><span>Safe and easy to use</span></li><li class=""list__item""><span>Slim fold</span></li><li class=""list__item""><span>225 lbs. type II ANSI rating</span></li><li class=""list__item""><span>Limited lifetime warranty</span></li><span class=""list__item list__item--nopadding"" data-testid=""list-item-no-padding""></span><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",39.88,undefined,17.5,in,undefined,14.1,lb,https://images.thdstatic.com/productImages/b444f634-e3d0-4666-a0a3-a681c89bb8dc/svn/gorilla-ladders-step-stools-gls-3-2-64_600.jpg
Building Materials,"""Scaffolding,Scaffolding Sets""","Safeclimb Baker Style Scaffold Rolling Platform, 1250 lbs. Load Capacity, 6 ft. W x 6.25 ft. H x 2.5 ft. D, Steel",safeclimb-baker-style-scaffold-rolling-platform-1250-lbs-load-capacity-6-ft-w-x-625-ft-h-x-25-ft-d-steel,"Your utmost safety is guaranteed when using the Safeclimb 6 ft. x 6.25 ft. x 2.5 ft. Steel Baker Style Scaffold Platform with Wheels, thanks to an anti-slip deck that has a climb-through opening and sturdy anti-slip rungs. Its heavy duty 5 inch caster wheels make it easy for rolling in any home project, such as painting drywall. It's adjustable to your preferred height at 2 in. increments and can allow the user to reach 12 ft high. The user can stack these Metaltech Bakers up to 3 units high to reach up to 24 ft. Its stable walk board has a load capacity of up to 1,250 lbs. Made from steel with yellow powder coated finish, this baker style scaffolding is intended for interior projects. This item is compatible with the Metaltech Climb-n-go which is a motor that you can add to your Metaltech Baker scaffold. Metaltech strives to develop, manufacture and sell safe, reliable, and innovative products that make working easier and faster to execute with built in safety and sturdiness. Our products are specifically suited for residential, commercial, and industrial construction.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Safety and support are ensured with anti-slip rungs and anti-slip deck that even has a climb-through opening</span></li><li class=""list__item""><span>Made with rugged square steel tubes, topped off with a baked-on yellow poly powder coat finish</span></li><li class=""list__item""><span>Easy to roll and move around with its heavy duty 5 in. caster wheels</span></li><li class=""list__item""><span>Keep any tool or equipment close to you on the staging thanks to the 1,250 lbs. load capacity</span></li><li class=""list__item""><span>ANSI certified, OSHA compliant</span></li><span class=""list__item list__item--nopadding"" data-testid=""list-item-no-padding""></span><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",298,5.6,74.75,in,undefined,127.6,lb,https://images.thdstatic.com/productImages/eaf02f00-eaf3-46c3-83c1-765edefa283e/svn/metaltech-scaffolding-sets-i-cisch1-64_600.jpg
Building Materials,"""Ceilings,Ceiling Tiles,Drop Ceiling Tiles""","2 ft. x 4 ft. Radar Basic White Square Edge Lay-In Ceiling Tile, case of 8 (64 sq. ft)",2-ft-x-4-ft-radar-basic-white-square-edge-lay-in-ceiling-tile-case-of-8-(64-sq-ft),"Quick and easy to install, these economical, all-purpose, lightly textured ceiling tiles feature a unique, non-directional pattern. USG Radar Basic Acoustical Ceiling Tiles are easy to clean and offer good sound absorption. Classified as low-emitting ceiling tiles, they are ideal for use in schools, corridors, lobby areas, offices, and retail stores.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Economical, all-purpose ceiling tile</span></li><li class=""list__item""><span>Good sound control for a variety of commercial environments</span></li><li class=""list__item""><span>Wet-formed mineral fiber substrate</span></li><li class=""list__item""><span>Class A fire resistance</span></li><li class=""list__item""><span>GREENGUARD Gold certified for low-emitting performance</span></li><li class=""list__item""><span>USDA Certified Biobased Product</span></li><li class=""list__item""><span><a href=""https://www.homedepot.com/b/Building-Materials-Ceilings-Ceiling-Tiles/USG-Ceilings/N-5yc1vZc58lZ1ji"" target=""_blank"">Click here to shop more USG Ceiling Tiles</a></span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li></ul></div>",undefined,47.75,23.75,in,0.625,44.16,lb,https://images.thdstatic.com/productImages/c196c30a-a23e-4631-9712-2ff657b99e87/svn/white-usg-ceilings-drop-ceiling-tiles-r2310-64_600.jpg
