Product Category,Tags,Title,Handle,Body (HTML),Variant Price,Length,Width,Width Unit,Thickness,Variant Weight,Variant Weight Unit,Image Src
Building Materials,"""Concrete, Cement & Masonry,Asphalt Repair,Asphalt Crack Filler""",50 lb. Commercial Grade Blacktop Repair Patch,50-lb-commercial-grade-blacktop-repair-patch,"Quikrete 50 lb. Commercial Grade Permanent Blacktop Repair Patch is designed to repair potholes and cracks over 1 in. wide in asphalt pavements. Provides superior placement and bonding characteristics and produces a virtually permanent repair, even in cold, damp conditions.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Use asphalt patch on roads, driveways, parking lots and pathways</span></li><li class=""list__item""><span>Repaired area is ready for immediate return to service</span></li><li class=""list__item""><span>Superior bond strength</span></li><li class=""list__item""><span>Use in wet or dry conditions</span></li><li class=""list__item""><span>Please be advised there could be a discrepancy regarding the pallet counts for certain Home Depot locations, if you are interested in purchasing pallet quantities, please reach out to your local Home Depot to confirm pallet counts.</span></li><li class=""list__item""><span>Note: product may vary by store</span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",15.77,9.5,undefined,undefined,undefined,50,lb,https://images.thdstatic.com/productImages/497443f0-b10c-4c1f-9f65-0c4e6e84b090/svn/quikrete-asphalt-crack-filler-170152-64_600.jpg
Building Materials,"""Siding,Wood Siding""",Plywood Siding Panel T1-11 8 IN OC (Nominal: 19/32 in. x 4 ft. x 8 ft. ; Actual: 0.563 in. x 48 in. x 96 in. ),plywood-siding-panel-t1-11-8-in-oc-(nominal-1932-in-x-4-ft-x-8-ft-actual-0563-in-x-48-in-x-96-in-),"Plywood siding is an all-wood exterior-grade panel. It is ideal for siding applications from new home construction, utility buildings, planters, dog houses and other remodeling or do-it-yourself-projects. Plywood siding features a rough-sawn textured face for a beautiful rustic appearance.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Rich woodgrain texture of Southern yellow pine</span></li><li class=""list__item""><span>Attractive 8 in. groove pattern</span></li><li class=""list__item""><span>Easy to install with long-term durability</span></li><li class=""list__item""><span>Shiplapped 8 ft. edges for a seamless joint</span></li><li class=""list__item""><span>Can be painted or stained for a variety of exterior projects</span></li><li class=""list__item""><span>Recommended drain: K-7272 or K-7271</span></li><li class=""list__item""><span>Note: Product may vary by store</span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",41.96,95.938,47.938,in,0.563,3458,lb,https://images.thdstatic.com/productImages/2b6c0fe8-fc52-4986-99af-61b983b24a00/svn/unfinished-plytanium-wood-siding-113699-64_600.jpg
Building Materials,"""Drywall,Drywall Corner Bead""",1-1/4 in. x 8 ft. Quicksilver Metal Corner Bead,1-14-in-x-8-ft-quicksilver-metal-corner-bead,"QUICKSILVER corner bead is a hot-dipped, highly durable galvanized bead. QUICKSILVER corner bead provides a high-quality finish and solid protection at drywall corners. This traditional drywall finishing product is nailed, stapled, screwed or clinched into place. Flanges are deeply knurled and perforated for excellent joint compound adhesion.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Offers superior corrosion protection</span></li><li class=""list__item""><span>Ideal for humid, moisture-prone conditions and high-traffic areas</span></li><li class=""list__item""><span>Strong metal reinforcement for drywall corners</span></li><li class=""list__item""><span>Exposed nose resists impact and forms a screed for finishing</span></li><li class=""list__item""><span>Note: product may vary by store</span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",4.76,8,1.25,in,undefined,1,lb,https://images.thdstatic.com/productImages/66e90a26-2907-4004-9b61-25da33a69e5d/svn/clarkdietrich-drywall-corner-bead-741339-64_600.jpg
Building Materials,"""Insulation,Fiberglass Insulation""",R- 19 Faced Fiberglass Insulation Roll 15 in. x 39.2 ft. (1 Roll),r-19-faced-fiberglass-insulation-roll-15-in-x-392-ft-(1-roll),"Owens Corning PINK Next Gen Fiberglas insulation installs faster because it's made like no other fiberglass insulation. PINK Next Gen fiberglass insulation rolls recover instantly, cut and split cleanly, glide in easily and stay put in the cavity, helping deliver inspection-ready results faster, they feel soft as cotton and are shed-resistant for more comfort and less cleanup on every job. And their advanced fiber technology creates a tightly woven network of soft, fine fibers to form a super-resilient blanket of insulating micro-pockets that deliver exceptional performance.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Advanced fiber technology recovers without shaking or fluffing</span></li><li class=""list__item""><span>Creates less dust-less mess and faster clean up</span></li><li class=""list__item""><span>Safe, proven ingredients</span></li><li class=""list__item""><span>Cost-effective solution for a more comfortable home</span></li><li class=""list__item""><span>Absorbs noise for more peace and privacy</span></li><li class=""list__item""><span>Insulation offers sound proofing benefits by helping to reduce unwanted noise</span></li><li class=""list__item""><span>Green guard gold certified-contributes to indoor air quality</span></li><li class=""list__item""><span>Available with kraft or foil vapor barrier for moisture control</span></li><li class=""list__item""><span>Wood and metal framed wall, floor and ceiling assemblies</span></li><li class=""list__item""><span>Can be used in contact with concrete</span></li><li class=""list__item""><span>Cannot be left exposed-must be covered by a 15-minute thermal barrier</span></li><li class=""list__item""><span>PRO customers, the pallet size is 18 if applicable</span></li><li class=""list__item""><span>Can be combined with <a href=""in.https//www.homedepot.com/b/Building-Materials-Insulation-Foam-Board-Insulation/Owens-Corning/N-5yc1vZbaxxZ3q5"" in.="""" target=""in._blank"" style=""in.color#F96302;"">FORMULAR insulating sheathing</a> to achieve greater R-value in exterior wall applications</span></li><li class=""list__item""><span>Shop <a href=""in.https//www.homedepot.com/collection/Building-Materials/Owens-Corning-2x6-Wall-and-Floor-Insulation/Family-310386761"" in.="""" target=""in._blank"" style=""in.color#F96302;"">precut 2x6 wall and floor insulation </a> for faster installation</span></li><li class=""list__item""><span>Shop recommended <a href=""in.https//www.homedepot.com/collection/Building-Materials/Owens-Corning-Attic-Insulation/Family-310386762"" in.="""" target=""in._blank"" style=""in.color#F96302;"">products for insulating your attic</a></span></li><li class=""list__item""><span>Get everything you need to <a href=""in.https//www.homedepot.com/b/Featured-Products-Complete-Your-Drywall-Project/N-5yc1vZ2fkov39"" in.="""" target=""in._blank"" style=""in.color#F96302;"">complete your drywall project</a></span></li><li class=""list__item""><span>Click here to learn more about <a href=""in.https//ecooptions.homedepot.com/energy-efficiency/in."" target=""in._blank"" in.="""" style=""in.color#F96302;"">Eco Options and Energy Efficiency</a></span></li><li class=""list__item""><span>Click here to shop <a href=""in.https//www.homedepot.com/b/Building-Materials-Insulation-Fiberglass-Insulation/Owens-Corning/R19/N-5yc1vZbay7Z3q5Z1z18jv5"" in.="""" target=""in._blank"" style=""in.color"" #f96302;="""">Owens Corning R-19 Fiberglass Insulation</a> styles</span></li><li class=""list__item""><span>Click here to learn more about <a href=""in.https//www.homedepot.com/c/ab/insulation-r-values/9ba683603be9fa5395fab9091a9131f"" in.="""" target=""in._blank"" style=""in.color"" #f96302;="""">Insulation R-Values</a></span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",44.34,39.2,15,in,6.25,17.1,lb,https://images.thdstatic.com/productImages/425c55ca-107c-48d5-98f0-3587bc0433ca/svn/owens-corning-fiberglass-insulation-rf40-64_600.jpg
Building Materials,"""Insulation,Foam Board Insulation""",FOAMULAR NGX F-150 1 in. x 4 ft. x 8 ft. SSE R-5 XPS Rigid Foam Board Insulation,foamular-ngx-f-150-1-in-x-4-ft-x-8-ft-sse-r-5-xps-rigid-foam-board-insulation,"Owens Corning FOAMULAR NGX (Next Generation Extruded) insulation, is produced with a proprietary blowing agent that delivers a 90% reduction to Global Warming Potential (100 year) compared to current FOAMULAR. The new formulation and production process meets or exceeds new, more stringent regulatory standards without sacrificing product performance and offers a comprehensive line of products in a wide choice of sizes, thicknesses and edges with a Lifetime limited warranty for the life of the home or building. Foam insulation boards are easy to handle, score, cut and install &amp; no special tools are needed. Foam insulation products can be used on wood, steel framing or concrete walls. FOAMULAR NGX resists moisture and retains R-value even after exposure to standing water and wet soil. Owens Corning FOAMULAR NGX insulation offers all the physical properties and ease-of-use you expect from Owens Corning FOAMULAR insulation with industry-leading sustainability.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Completely eliminates use of HFC 134a</span></li><li class=""list__item""><span>Manufactured with a blowing agent formulation that delivers a 90% reduction to global warming potential (100-year)1</span></li><li class=""list__item""><span>Excellent energy efficiency in the form of a high R-5 per inch</span></li><li class=""list__item""><span>Extremely low water absorption potential, delivering superior R-value retention in the presence of water</span></li><li class=""list__item""><span>Wide range of compressive strengths - up to 100 psi - to handle heavy loads</span></li><li class=""list__item""><span>Only XPS with a limited lifetime warranty that guarantees a minimum 90% of R-value for the life of the product</span></li><li class=""list__item""><span>FOAMULAR is not rated for STC (sound transmission) and does not have any soundproofing properties. <a href=""https://www.homedepot.com/b/Building-Materials-Insulation-Fiberglass-Insulation/Owens-Corning/N-5yc1vZbay7Z3q5"" target=""_blank"" style=""color:#F96302;"">Owens Corning fiberglass batts and rolls</a> are great options for acoustic applications.</span></li><li class=""list__item""><span>When using foamular or any low perm insulation, always verify the moisture vapor flow and dew point characteristics of the wall system, please check your local building codes for vapor retarder/barrier information</span></li><li class=""list__item""><span>Being used in an interior construction application, painting the fo is not recommended as foamular cannot be left exposed and will need to be covered by a 15-minute thermal barrier such as drywall</span></li><li class=""list__item""><span>If being used for crafts, acrylic or latex based paints can be used with foamular products</span></li><li class=""list__item""><span>If you're looking to insulate your garage door, <a href=""https://www.homedepot.com/p/Owens-Corning-Garage-Door-Fiberglass-Insulation-Kit-22-in-x-54-in-8-Panels-GD01/202257272"" target=""_blank"" style=""color:#F96302;"">Owens Corning Garage Door Insulation Kit</a> is an easy, fast and affordable way to keep your garage warm in winter and cool in the summer.</span></li><li class=""list__item""><span>If you're looking to ventilate your attic rafters, <a href=""https://www.homedepot.com/p/Owens-Corning-Raft-R-Mate-22-1-2-in-x-4-ft-Attic-Insulation-Rafter-Baffle-Proper-Vents-70-Pieces-70RM/204853491"" target=""_blank"" style=""color:#F96302;"">Owens Corning Raft-R-Mate</a> is a XPS foam vent designed to assure unrestricted airflow from the soffit to the ridge vent.</span></li><li class=""list__item""><span>FOAMULAR is available in 2 edge configurations</span></li><li class=""list__item""><span>Square Edge - designed to fit flush next to adjoining boards</span></li><li class=""list__item""><span>Scored Square Edge - comes with 3 factory scores, so that you can take a 4' sheet, break it in two and have two, 2' wide sheets (middle score), or you can break it into three 16"" wide pieces by snapping at the left and right score.</span></li><li class=""list__item""><span>Click here to shop <a href=""https://www.homedepot.com/b/Building-Materials-Insulation-Foam-Board-Insulation/Owens-Corning/N-5yc1vZbaxxZ3q5"" target=""_blank"" style=""color:#F96302;"">Owens Corning Foam Board Insulation</a> styles</span></li><li class=""list__item""><span>Click here to shop <a href=""https://www.homedepot.com/p/Loctite-PL-300-10-fl-oz-foamboard-adhesive-1421941/202020476"" target=""_blank"" style=""color:#F96302,"">loctite foamboard adhesive</a></span></li><li class=""list__item""><span>Click here to learn more about <a href=""https://www.homedepot.com/c/ab/insulation-r-values/9ba683603be9fa5395fab9091a9131f"" target=""_blank"" style=""color:#F96302;"">Insulation R-Values</a></span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li></ul></div>",34.56,8,48,in,1,4.41,lb,https://images.thdstatic.com/productImages/d08a08d4-66bc-4c52-8739-8fd4bef7dc9a/svn/owens-corning-foam-board-insulation-20wengx-64_600.jpg
Building Materials,"""Drywall,Drywall Sheets""",5/8 in. x 4 ft. x 8 ft. EcoSmart Firecode X Drywall,58-in-x-4-ft-x-8-ft-ecosmart-firecode-x-drywall,"USG Sheetrock Brand EcoSmart Panels Firecode X are lightweight, fire-resistant gypsum panels that achieve the same strength and performance characteristics as standard 5/8 in. Sheetrock Brand Firecode X Panels at a lower environmental impact and reduced weight. They feature an innovative, noncombustible gypsum core encased in 100% recycled face and back papers. Long edges of the panels are tapered for easy finishing, allowing joints to be reinforced and concealed with Sheetrock Brand joint treatment systems. UL Classified for fire resistance, they can be used in any UL Design in which Type FC30 panels are listed. The UL Type Designation is printed on the face along the long edge of each panel for easy identification by building inspectors.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Offers comparable sound, strength and sag resistance to standard 5/8 in. Type X</span></li><li class=""list__item""><span>Ideal for commercial or residential applications where 5/8 in. Type X panels are required, including load-bearing and nonload-bearing wood- or steel-framed fire-rated walls</span></li><li class=""list__item""><span>Comply with ASTM C1396, Standard Specification for Gypsum Board</span></li><li class=""list__item""><span>UL Classification as to fire resistance, surface-burning characteristics and noncombustibility</span></li><li class=""list__item""><span>Listed by UL in the most widely specified wall, column, floor- and roof-ceiling assemblies and horizontal membranes</span></li><li class=""list__item""><span>GREENGUARD Gold certified for low-emitting performance</span></li><li class=""list__item""><span>Meet Architecture 2030 Challenge for Products:  up to 25% less global warming potential; up to 30% less weight reduces transportation fuel energy by up to 20%</span></li><li class=""list__item""><span>Contain 100% USDA certified biobased content</span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li></ul></div>",15.98,8,4,ft,undefined,57.6,lb,https://images.thdstatic.com/productImages/9e3d9b66-b50a-4548-8131-3636fae548df/svn/usg-sheetrock-brand-drywall-sheets-14116708-64_600.jpg
Building Materials,"""Roofing,Roof Panels,Metal Roofing""",8 ft. Corrugated Galvanized Steel 31-Gauge Roof Panel,8-ft-corrugated-galvanized-steel-31-gauge-roof-panel,"Gibraltar's galvanized steel corrugated panels are trusted by professionals and homeowners for a variety of applications. This 31-Gauge corrugated galvanized steel panel is a thin utility use panel that's durable for roofing and siding and is also recommended for DIY projects, privacy fencing, planters and garden sheds. Other uses include: back splashes, ceilings, wainscoting and craft projects. The distinctive galvanized finish will stand up to all kinds of weather and can be painted or aged for a variety of interesting visual effects. Corrugated panels are easily cut with shears and being light weight makes them easy to use and transport.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Thin and light weight for ease of use or transport; cuts easily with common aviation snips</span></li><li class=""list__item""><span>31-Gauge thickness, recommended for roof slopes of 3/12 pitch or greater</span></li><li class=""list__item""><span>Corrugated panels will not rot, mildew or warp and can form an effective pesticide-free barrier against termites and other insects</span></li><li class=""list__item""><span>Non-combustible; resistance to fire increases your security and may result in lower insurance premiums</span></li><li class=""list__item""><span>Corrugated panels are a good choice for the environment; after a long service life corrugated panels are still 100% recyclable</span></li><li class=""list__item""><span>21-1/2 in. roof coverage or 24 in. siding coverage</span></li><li class=""list__item""><span>Galvanized steel is a low-maintenance product that is known for durability</span></li><li class=""list__item""><span>Panel is unpainted</span></li><span class=""list__item list__item--nopadding"" data-testid=""list-item-no-padding""></span><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",18.48,96,25.75,in,0.01,7.37,lb,https://images.thdstatic.com/productImages/e6c67ca2-8514-4deb-80e9-22055869e93b/svn/metal-roofing-13513-64_600.jpg
Building Materials,"""Moulding & Millwork,Moulding,Door & Window Moulding,Casing""",Pro Pack 356 11/16 in. x 2 1/4 in. x 84 in. Primed Finger Jointed Casing (5-Pack − 35 Total Linear Feet),pro-pack-356-1116-in-x-2-14-in-x-84-in-primed-finger-jointed-casing-(5-pack-35-total-linear-feet),"Looking to add the perfect finishing touch to windows and doors. The Woodgrain Millwork 11/16 in x 2-1/4 in WM356 Primed Finger Jointed Pine Casing Door Pack includes five 84 inch sides which is enough material to finish both sides of a door. Casing is used around doors and windows to cover the gaps between the frames and walls. Combine the casing with a backband to create a bold, one-of-a-kind-look.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Smooth, consistent surface is free from knots and is ready to finish</span></li><li class=""list__item""><span>Can be painted with any high quality, latex-based paint</span></li><li class=""list__item""><span>A traditional pattern that creates a classic style for your doors and windows</span></li><li class=""list__item""><span>Installs with common woodworking tools</span></li><li class=""list__item""><span>Contains five pieces at 84 in.</span></li><li class=""list__item""><span>Note: product may vary by store</span></li><li class=""list__item""><span><a href=""https://www.homedepot.com/services/c/door-window-specialist/893e44520"" target=""_blank"" style=""color:#F96302;"">Speak to an Associate about Doors and Windows. Call 1-833-HDAPRON (432-7766) for free design, purchase and installation help daily from 9AM - 9PM EST.</a></span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li><li class=""list__item""><div class=""prop65-wrapper""><div class=""prop65-wrapper--flex""><div>California residents</div><div aria-expanded=""false""><button class=""list__link bttn-outline bttn--link"" id=""prop65__tooltip""><span class=""bttn__content"">see Prop 65 WARNINGS</span></button></div></div></div></li></ul></div>",45.88,84,2.25,in,undefined,undefined,undefined,https://images.thdstatic.com/productImages/c516babc-6bb5-41ea-a2f4-827edc7d8744/svn/white-woodgrain-millwork-casing-108378-64_600.jpg
Building Materials,"""Drywall,Joint Compound""",18 lb. Easy Sand 20 Lightweight Setting-Type Joint Compound,18-lb-easy-sand-20-lightweight-setting-type-joint-compound,"USG Sheetrock Brand Easy Sand 20 Joint Compound is a lightweight, setting-type compound with a 20-minute working time. USG setting-type joint compounds provide faster finishing of drywall interiors, even under slow drying conditions. Rapid chemical hardening and low shrinkage permit same-day finishing and usually next-day decoration. USG Sheetrock Brand Easy Sand 20 Joint Compound features an exceptional bond; virtually unaffected by humidity extremes. It is ideal for laminating double-layer systems, particularly fire-rated assemblies, and for adhering gypsum panels to above-grade concrete surfaces. May also be used for surface texturing and for filling, smoothing and finishing interior above-grade concrete. Note:  Setting-type joint compounds should not be used for skim coating due to dryout concerns.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Weigh up to 25% less than conventional weight setting-type joint compounds</span></li><li class=""list__item""><span>Sands easily; similar to a ready-mixed, all-purpose joint compound</span></li><li class=""list__item""><span>Unique humidity resistance</span></li><li class=""list__item""><span>Check-crack resistance in heavy ﬁlls</span></li><li class=""list__item""><span>For interior gypsum panels and exterior gypsum ceiling boards</span></li><li class=""list__item""><span>GREENGUARD Gold certified for low-emitting performance</span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li></ul></div>",14.98,undefined,10,in,undefined,18,lb,https://images.thdstatic.com/productImages/acdf609a-8cea-4ed1-a796-554b92d2b100/svn/usg-sheetrock-brand-joint-compound-384214-64_600.jpg
Building Materials,"""Drywall,Drywall Sheets""",5/8 in. x 4 ft. x 8 ft. Mold Tough Firecode X Drywall,58-in-x-4-ft-x-8-ft-mold-tough-firecode-x-drywall,"USG Sheetrock Brand Mold Tough Panels Firecode X offer fire-, moisture- and mold-resistance for interior wall and ceiling applications. They are Type X panels that feature a noncombustible, moisture-resistant gypsum core encased in moisture-and mold-resistant, 100% recycled, green face and brown back papers. Long edges of the panels are tapered for easy finishing, allowing joints to be reinforced and concealed with Sheetrock Brand joint treatment systems. UL Classified for fire resistance, they can be used in any UL Design in which Type SCX panels are listed. The UL Type Designation is printed on the face along the long edge of each panel for easy identification by building inspectors.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Scores and snaps easily; quick installation and decoration</span></li><li class=""list__item""><span>Intended for commercial or residential applications where 5/8 in. moisture- and mold-resistant Type X panels are required, including load-bearing and nonload-bearing wood- or steel-framed fire-rated walls; repair and remodel construction</span></li><li class=""list__item""><span>Comply with ASTM C1396, Standard Specification for Gypsum Board</span></li><li class=""list__item""><span>UL Classification as to fire resistance, surface-burning characteristics and noncombustibility</span></li><li class=""list__item""><span>GREENGUARD Gold certified for low-emitting performance</span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li></ul></div>",21.48,8,4,ft,undefined,76.8,lb,https://images.thdstatic.com/productImages/333170cd-5f3f-4dda-a229-47b8bbde8ceb/svn/usg-sheetrock-brand-drywall-sheets-14313211308-64_600.jpg
Building Materials,"""Insulation,Foam Board Insulation""",FOAMULAR 150 1 in. x 4 ft. x 8 ft. R-5 Scored Square Edge Rigid Foam Board Insulation Sheathing,foamular-150-1-in-x-4-ft-x-8-ft-r-5-scored-square-edge-rigid-foam-board-insulation-sheathing,"FOAMULAR Extruded Polystyrene (XPS) Rigid Foam Insulation offers a comprehensive product line of insulation boards in a wide choice of sizes, thicknesses and edges with a Lifetime Limited Warranty for the life of the home or building. Foam insulation boards are easy to handle, score, cut and install &amp; no special tools are needed. Rigid foam insulation products can be used on wood, steel framing or concrete walls. FOAMULAR XPS resists moisture and retains R-value even after exposure to standing water and wet soil. Only XPS foam to be GREENGUARD Gold Certified and the first XPS foam certified by Scientific Certification Systems (SCS) to contain a minimum of 20% recycled content.<div class=""grid bullet-list-wrapper""><ul class=""bullet-list bullet-list--margin list list--type-square""><li class=""list__item""><span>Closed cell, highly moisture-resistant rigid foam board</span></li><li class=""list__item""><span>Lifetime limited warranty</span></li><li class=""list__item""><span>Insulation foam boards available in a wide choice of sizes, thicknesses and edges</span></li><li class=""list__item""><span>Retains R-value even after exposure to moisture and freeze thaw cycling</span></li><li class=""list__item""><span>Click here to shop <a href=""https://www.homedepot.com/p/Loctite-PL-300-10-fl-oz-Foamboard-Adhesive-1421941/202020476"" target=""_blank"" style=""color:#F96302;"">Loctite foamboard adhesive</a></span></li><li class=""list__item""><span>FOAMULAR 150 and 250 are available in various thicknesses and R-values, the difference is the compressive strength. FOAMULAR 150 has a compressive strength of 15 psi and FOAMULAR 250 is 25 psi</span></li><li class=""list__item""><span>FOAMULAR is not rated for STC (sound transmission) and does not have any soundproofing properties. <a href=""https://www.homedepot.com/b/Building-Materials-Insulation-Fiberglass-Insulation/Owens-Corning/N-5yc1vZbay7Z3q5"" target=""_blank"" style=""color:#F96302;"">Owens Corning fiberglass batts and rolls</a> are great options for acoustic applications.</span></li><li class=""list__item""><span>When using FOAMULAR or any low perm insulation, always verify the moisture vapor flow and dew point characteristics of the wall system. Please check your local building codes for vapor retarder/barrier information.</span></li><li class=""list__item""><span>If being used in an interior construction application, painting the FOAMULAR is not recommended as FOAMULAR cannot be left exposed and will need to be covered by a 15 minute thermal barrier such as drywall.</span></li><li class=""list__item""><span>If being used for crafts, acrylic or latex based paints can be used with FOAMULAR products.</span></li><li class=""list__item""><span>If you're looking to insulate your garage door, <a href=""https://www.homedepot.com/p/Owens-Corning-Garage-Door-Fiberglass-Insulation-Kit-22-in-x-54-in-8-Panels-GD01/202257272"" target=""_blank"" style=""color:#F96302;"">Owens Corning Garage Door Insulation Kit</a> is an easy, fast and affordable way to keep your garage warm in winter and cool in the summer.</span></li><li class=""list__item""><span>If you're looking to ventilate your attic rafters, <a href=""https://www.homedepot.com/p/Owens-Corning-Raft-R-Mate-22-1-2-in-x-4-ft-Attic-Insulation-Rafter-Baffle-Proper-Vents-70-Pieces-70RM/204853491"" target=""_blank"" style=""color:#F96302;"">Owens Corning Raft-R-Mate</a> is a XPS foam vent designed to assure unrestricted airflow from the soffit to the ridge vent.</span></li><li class=""list__item""><span>FOAMULAR is available in two edge configurations:</span></li><li class=""list__item""><span>Square Edge - designed to fit flush next to adjoining boards</span></li><li class=""list__item""><span>Scored Square Edge - comes with 3 factory scores, so that you can take a 4' sheet, break it in two and have two, 2' wide sheets (middle score), or you can break it into three 16"" wide pieces by snapping at the left and right score.</span></li><li class=""list__item""><span>Click here to shop <a href=""https://www.homedepot.com/b/Building-Materials-Insulation-Foam-Board-Insulation/Owens-Corning/N-5yc1vZbaxxZ3q5"" target=""_blank"" style=""color:#F96302;"">Owens Corning Foam Board Insulation</a> styles</span></li><li class=""list__item""><span>Click here to learn more about <a href=""https://www.homedepot.com/c/ab/insulation-r-values/9ba683603be9fa5395fab9091a9131f"" target=""_blank"" style=""color:#F96302;"">Insulation R-Values</a></span></li><li class=""list__item""><a href=""https://www.homedepot.com/c/Return_Policy"" target=""_blank"" rel=""noopener noreferrer"" class=""product-overview__return-link"">Return Policy</a></li></ul></div>",29.58,8,48,in,1,4.41,lb,https://images.thdstatic.com/productImages/061ca435-fbff-49ac-9e0b-24bad4acc1fe/svn/owens-corning-foam-board-insulation-20we-64_600.jpg
